daqtime,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap,video
1.01,0.856,36.545,24.949,27.649,31.675,8.438,7.781,-52.548,10
2.01,0.869,36.671,24.953,27.668,31.689,8.602,7.863,-52.466,10
3.01,0.859,36.661,24.945,27.649,31.679,8.561,7.781,-52.507,10
4.01,0.866,36.41,24.945,27.668,31.682,8.684,7.945,-52.548,10
5.01,0.866,36.526,24.953,27.649,31.686,8.644,7.904,-52.466,10
6.01,0.876,36.642,24.945,27.649,31.679,8.684,7.863,-52.589,10
7.01,0.882,36.429,24.945,27.678,31.693,8.726,7.945,-52.425,10
8.01,0.862,36.4,24.941,27.639,31.679,8.602,7.781,-52.671,10
9.01,0.882,36.574,24.957,27.707,31.696,8.808,8.027,-52.343,10
10.01,0.862,36.594,24.929,27.63,31.672,8.561,7.699,-52.63,10
11.01,0.879,36.245,24.961,27.697,31.696,8.808,8.027,-52.343,10
12.01,0.862,36.313,24.937,27.61,31.668,8.52,7.74,-52.753,10
13.01,0.885,36.516,24.961,27.678,31.7,8.808,8.069,-52.343,10
14.01,0.866,36.516,24.929,27.62,31.665,8.602,7.699,-52.63,10
15.01,0.885,36.274,24.953,27.688,31.689,8.808,7.986,-52.507,10
16.01,0.869,36.332,24.929,27.63,31.672,8.684,7.822,-52.589,10
17.01,0.885,36.497,24.945,27.658,31.686,8.767,7.822,-52.589,10
18.01,0.876,36.545,24.937,27.63,31.679,8.684,7.863,-52.63,10
19.01,0.876,36.148,24.941,27.63,31.679,8.849,7.781,-52.548,10
20.01,0.869,36.303,24.953,27.658,31.675,8.808,7.781,-52.589,10
21.01,0.876,36.39,24.953,27.63,31.682,8.849,7.945,-52.548,10
22.01,0.869,36.429,24.953,27.639,31.682,8.89,7.863,-52.548,10
23.01,0.876,36.177,24.957,27.649,31.686,8.931,7.863,-52.589,10
24.01,0.882,36.322,24.945,27.658,31.682,9.013,7.822,-52.63,10
25.01,0.879,36.439,24.941,27.639,31.679,9.095,7.781,-52.589,10
26.01,0.879,36.439,24.937,27.649,31.679,9.136,7.781,-52.507,10
27.01,0.872,36.08,24.941,27.639,31.679,9.177,7.74,-52.63,10
28.01,0.882,36.216,24.949,27.649,31.675,9.136,7.781,-52.589,10
29.01,0.876,36.322,24.937,27.668,31.682,9.259,7.863,-52.548,10
30.01,0.882,36.235,24.949,27.63,31.682,9.218,7.781,-52.548,10
31.01,0.876,36.129,24.945,27.639,31.686,9.259,7.822,-52.507,10
32.01,0.872,36.255,24.937,27.639,31.679,9.301,7.699,-52.63,10
33.01,0.879,36.342,24.949,27.649,31.679,9.259,7.781,-52.548,10
34.01,0.882,35.983,24.937,27.639,31.675,9.136,7.781,-52.63,10
35.01,0.885,36.071,24.933,27.639,31.679,9.342,7.781,-52.548,10
36.01,0.882,36.187,24.945,27.63,31.679,9.259,7.781,-52.63,10
37.01,0.882,36.284,24.953,27.639,31.682,9.382,7.863,-52.589,10
38.01,0.879,35.857,24.937,27.63,31.675,9.342,7.699,-52.712,10
39.01,0.876,36.012,24.925,27.649,31.682,9.301,7.781,-52.63,10
40.01,0.869,36.129,24.945,27.63,31.675,9.259,7.658,-52.63,10
41.01,0.882,36.226,24.941,27.649,31.679,9.301,7.781,-52.63,10
42.01,0.879,35.925,24.925,27.63,31.679,9.259,7.658,-52.671,10
43.01,0.879,36.1,24.929,27.639,31.689,9.301,7.822,-52.507,10
44.01,0.872,36.177,24.929,27.63,31.675,9.259,7.699,-52.753,10
45.01,0.879,36.274,24.941,27.639,31.682,9.424,7.863,-52.507,10
46.01,0.869,35.799,24.933,27.63,31.675,9.301,7.617,-52.63,10
47.01,0.872,35.964,24.945,27.649,31.682,9.382,7.822,-52.63,10
48.01,0.856,36.042,24.949,27.62,31.672,9.218,7.74,-52.63,10
49.01,0.882,36.129,24.949,27.649,31.682,9.382,7.781,-52.589,10
50.01,0.872,35.809,24.941,27.61,31.679,9.259,7.699,-52.63,10
51.01,0.879,35.964,24.957,27.649,31.689,9.342,7.822,-52.507,10
52.01,0.879,36.061,24.949,27.63,31.679,9.342,7.74,-52.589,10
53.01,0.885,36.293,24.945,27.649,31.679,9.382,7.74,-52.589,10
54.01,0.882,35.867,24.937,27.658,31.682,9.506,7.822,-52.507,10
55.01,0.872,35.983,24.937,27.639,31.675,9.342,7.658,-52.712,10
56.01,0.882,36.109,24.957,27.649,31.686,9.588,7.945,-52.507,10
57.01,0.876,35.712,24.917,27.6,31.675,9.342,7.658,-52.671,10
58.01,0.892,35.838,24.957,27.668,31.689,9.588,7.945,-52.507,10
59.01,0.869,35.877,24.913,27.591,31.661,9.301,7.658,-52.794,10
60.01,0.885,36.051,24.957,27.678,31.693,9.629,7.863,-52.466,10
61.01,0.869,35.77,24.925,27.6,31.672,9.301,7.658,-52.794,10
62.01,0.889,35.964,24.969,27.678,31.693,9.588,7.904,-52.466,10
63.01,0.869,36.012,24.937,27.61,31.665,9.301,7.575,-52.794,10
64.01,0.885,36.158,24.961,27.668,31.689,9.588,7.904,-52.507,10
65.01,0.872,35.615,24.929,27.591,31.668,9.301,7.534,-52.753,10
66.01,0.885,35.838,24.969,27.678,31.689,9.465,7.945,-52.589,10
67.01,0.872,35.877,24.929,27.61,31.661,9.218,7.617,-52.63,10
68.01,0.895,36.022,24.965,27.668,31.693,9.424,7.781,-52.507,10
69.01,0.866,35.635,24.929,27.63,31.668,9.218,7.658,-52.671,10
70.01,0.892,35.819,24.929,27.668,31.679,9.259,7.74,-52.548,10
71.01,0.892,35.916,24.929,27.63,31.675,9.177,7.699,-52.63,10
72.01,0.902,35.983,24.929,27.62,31.679,9.177,7.74,-52.671,10
73.01,0.905,35.654,24.913,27.63,31.679,9.177,7.699,-52.712,10
74.01,0.912,35.799,24.933,27.639,31.675,9.177,7.699,-52.63,10
75.01,0.922,35.916,24.933,27.63,31.675,9.218,7.575,-52.712,10
76.01,0.931,35.925,24.925,27.63,31.679,9.259,7.699,-52.671,10
77.01,0.938,35.702,24.937,27.62,31.679,9.259,7.699,-52.671,10
78.01,0.951,35.857,24.933,27.62,31.672,9.259,7.699,-52.63,10
79.01,0.958,35.935,24.929,27.62,31.679,9.259,7.699,-52.671,10
80.01,0.974,35.586,24.929,27.63,31.679,9.342,7.699,-52.753,10
81.01,0.984,35.567,24.929,27.63,31.672,9.382,7.74,-52.671,10
82.01,0.994,35.683,24.925,27.63,31.675,9.382,7.74,-52.671,10
83.01,1.007,35.79,24.941,27.61,31.679,9.424,7.699,-52.712,10
84.01,1.017,35.518,24.925,27.62,31.675,9.506,7.699,-52.671,10
85.01,1.017,35.654,24.917,27.62,31.672,9.588,7.74,-52.589,10
86.01,1.02,35.78,24.925,27.63,31.675,9.506,7.699,-52.671,10
87.01,1.014,35.857,24.925,27.61,31.672,9.506,7.781,-52.712,10
88.01,1.014,35.46,24.925,27.639,31.679,9.547,7.699,-52.671,10
89.01,1.01,35.596,24.909,27.63,31.675,9.506,7.74,-52.671,10
90.01,0.997,35.741,24.933,27.639,31.679,9.506,7.822,-52.671,10
91.01,0.987,35.78,24.933,27.63,31.675,9.465,7.74,-52.753,10
92.01,0.984,35.518,24.937,27.639,31.675,9.506,7.781,-52.63,10
93.01,0.974,35.644,24.929,27.62,31.668,9.382,7.74,-52.753,10
94.01,0.971,35.77,24.929,27.63,31.675,9.424,7.822,-52.589,10
95.01,0.954,35.809,24.921,27.62,31.675,9.382,7.74,-52.753,10
96.01,0.948,35.393,24.921,27.63,31.679,9.465,7.74,-52.63,10
97.01,0.935,35.548,24.921,27.6,31.668,9.342,7.74,-52.753,10
98.01,0.951,35.664,24.933,27.63,31.679,9.424,7.822,-52.589,10
99.01,0.951,35.664,24.925,27.6,31.668,9.259,7.74,-52.794,10
100.01,0.961,35.48,24.921,27.61,31.679,9.342,7.863,-52.63,10
101.01,0.951,35.596,24.929,27.61,31.672,9.259,7.781,-52.835,10
102.01,0.971,35.741,24.925,27.649,31.679,9.342,7.781,-52.589,10
103.01,0.961,35.567,24.921,27.61,31.675,9.177,7.74,-52.671,10
104.01,0.981,35.431,24.933,27.61,31.675,9.218,7.822,-52.712,10
105.01,0.977,35.557,24.921,27.63,31.679,9.259,7.863,-52.63,10
106.01,0.971,35.664,24.913,27.61,31.672,9.095,7.781,-52.671,10
107.01,0.977,35.422,24.941,27.639,31.686,9.218,7.945,-52.548,10
108.01,0.964,35.518,24.921,27.639,31.672,8.972,7.781,-52.712,10
109.01,0.981,35.683,24.929,27.668,31.682,9.259,7.986,-52.589,10
110.01,0.958,35.732,24.905,27.6,31.665,8.89,7.781,-52.753,10
111.01,0.984,35.276,24.945,27.649,31.682,9.136,8.069,-52.507,10
112.01,0.961,35.354,24.902,27.6,31.665,8.849,7.822,-52.794,10
113.01,0.991,35.557,24.941,27.649,31.682,9.013,8.15,-52.548,10
114.01,0.964,35.557,24.913,27.581,31.665,8.767,7.945,-52.835,10
115.01,0.994,35.383,24.949,27.649,31.686,8.972,8.192,-52.507,10
116.01,0.968,35.47,24.921,27.591,31.658,8.644,7.945,-52.835,10
117.01,0.987,35.664,24.945,27.668,31.693,9.013,8.233,-52.507,10
118.01,0.958,35.635,24.925,27.581,31.665,8.808,8.109,-52.835,10
119.01,0.964,35.296,24.921,27.63,31.686,8.931,8.192,-52.712,10
120.01,0.951,35.412,24.917,27.591,31.675,8.849,8.192,-52.753,10
121.01,0.958,35.538,24.913,27.62,31.672,8.931,8.233,-52.712,10
122.01,0.945,35.557,24.917,27.61,31.672,8.931,8.233,-52.753,10
123.01,0.941,35.296,24.933,27.61,31.672,8.972,8.274,-52.671,10
124.01,0.931,35.431,24.933,27.62,31.672,8.972,8.274,-52.671,10
125.01,0.918,35.538,24.921,27.62,31.679,9.013,8.274,-52.63,10
126.01,0.915,35.732,24.921,27.62,31.672,9.095,8.233,-52.753,10
127.01,0.908,35.276,24.929,27.61,31.675,9.136,8.356,-52.712,10
128.01,0.902,35.422,24.921,27.63,31.672,9.136,8.274,-52.712,10
129.01,0.902,35.548,24.925,27.62,31.668,9.136,8.315,-52.63,10
130.01,0.892,35.267,24.933,27.61,31.672,9.177,8.274,-52.671,10
131.01,0.879,35.344,24.933,27.62,31.668,9.095,8.356,-52.671,10
132.01,0.879,35.47,24.945,27.61,31.668,9.095,8.233,-52.712,10
133.01,0.892,35.557,24.929,27.61,31.672,9.095,8.233,-52.712,10
134.01,0.879,35.131,24.929,27.6,31.675,9.136,8.192,-52.712,10
135.01,0.889,35.286,24.925,27.63,31.668,9.095,8.233,-52.753,10
136.01,0.892,35.412,24.925,27.6,31.668,9.054,8.15,-52.794,10
137.01,0.895,35.489,24.913,27.61,31.675,9.095,8.192,-52.63,10
138.01,0.885,35.218,24.905,27.591,31.679,9.095,8.15,-52.794,10
139.01,0.892,35.383,24.894,27.62,31.672,9.013,8.109,-52.712,10
140.01,0.879,35.48,24.909,27.591,31.679,8.972,8.109,-52.753,10
141.01,0.872,35.567,24.925,27.62,31.675,9.054,8.109,-52.712,10
142.01,0.866,35.131,24.909,27.63,31.668,8.972,8.027,-52.712,10
143.01,0.872,35.305,24.929,27.61,31.675,8.931,8.109,-52.712,10
144.01,0.859,35.422,24.921,27.61,31.675,8.89,7.986,-52.794,10
145.01,0.862,35.46,24.925,27.63,31.672,8.89,8.027,-52.63,10
146.01,0.859,35.16,24.921,27.6,31.668,8.767,7.986,-52.753,10
147.01,0.856,35.305,24.913,27.63,31.672,8.808,8.027,-52.671,10
148.01,0.846,35.412,24.913,27.61,31.675,8.726,7.863,-52.835,10
149.01,0.853,35.431,24.937,27.62,31.672,8.767,7.986,-52.671,10
150.01,0.853,35.141,24.913,27.61,31.665,8.684,7.822,-52.794,10
151.01,0.846,35.305,24.925,27.63,31.682,8.767,7.904,-52.794,10
152.01,0.836,35.393,24.902,27.591,31.672,8.644,7.822,-52.794,10
153.01,0.83,35.218,24.921,27.63,31.675,8.644,7.945,-52.63,10
154.01,0.803,35.199,24.909,27.591,31.661,8.602,7.863,-52.753,10
155.01,0.816,35.364,24.921,27.62,31.668,8.726,7.945,-52.671,10
156.01,0.813,35.431,24.905,27.591,31.668,8.602,7.945,-52.753,10
157.01,0.823,35.044,24.917,27.61,31.679,8.684,7.945,-52.671,10
158.01,0.813,35.15,24.929,27.61,31.675,8.644,7.986,-52.712,10
159.01,0.82,35.296,24.929,27.62,31.672,8.52,7.863,-52.835,10
160.01,0.81,35.373,24.929,27.62,31.679,8.767,7.945,-52.712,10
161.01,0.81,35.054,24.917,27.6,31.672,8.52,7.781,-52.794,10
162.01,0.813,35.247,24.929,27.649,31.682,8.726,7.986,-52.671,10
163.01,0.8,35.325,24.913,27.6,31.658,8.479,7.781,-52.794,10
164.01,0.82,35.431,24.933,27.649,31.686,8.684,7.986,-52.671,10
165.01,0.8,34.966,24.913,27.581,31.668,8.397,7.781,-52.918,10
166.01,0.82,35.179,24.921,27.649,31.679,8.684,7.986,-52.589,10
167.01,0.793,35.218,24.894,27.591,31.665,8.356,7.781,-52.876,10
168.01,0.816,35.344,24.925,27.649,31.686,8.602,8.109,-52.548,10
169.01,0.797,35.024,24.905,27.591,31.661,8.315,7.74,-52.835,10
170.01,0.82,35.218,24.925,27.649,31.679,8.602,7.945,-52.671,10
171.01,0.803,35.286,24.898,27.591,31.668,8.479,7.781,-52.794,10
172.01,0.813,35.334,24.913,27.63,31.675,8.602,7.945,-52.671,10
173.01,0.797,35.083,24.905,27.6,31.668,8.602,7.863,-52.753,10
174.01,0.803,35.238,24.913,27.62,31.668,8.602,7.863,-52.753,10
175.01,0.803,35.344,24.925,27.61,31.672,8.726,7.945,-52.794,10
176.01,0.803,35.15,24.921,27.6,31.675,8.808,7.863,-52.753,10
177.01,0.797,34.986,24.913,27.61,31.665,8.808,7.863,-52.753,10
178.01,0.797,35.121,24.925,27.6,31.672,8.849,7.904,-52.794,10
179.01,0.793,35.218,24.921,27.6,31.675,8.808,7.863,-52.835,10
180.01,0.797,34.937,24.913,27.6,31.672,8.972,7.945,-52.671,10
181.01,0.797,35.083,24.925,27.61,31.668,8.931,7.863,-52.753,10
182.01,0.797,35.199,24.929,27.61,31.672,8.931,7.986,-52.794,10
183.01,0.793,35.267,24.933,27.591,31.668,8.89,7.863,-52.753,10
184.01,0.793,34.86,24.917,27.6,31.675,8.931,7.863,-52.753,10
185.01,0.8,35.034,24.921,27.6,31.668,8.931,7.822,-52.835,10
186.01,0.793,35.15,24.913,27.6,31.675,8.972,7.822,-52.794,10
187.01,0.79,35.218,24.905,27.61,31.665,9.013,7.822,-52.835,10
